assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
3540541,133010,Acropora elseyi,4.4.1,West-Central Australian Shelf,,Native,Extant,
3540541,133010,Acropora elseyi,2.2.1,Kuroshio Current,,Native,Extant,
3540541,133010,Acropora elseyi,4.6.5,Red Sea,,Native,Extant,
3540541,133010,Acropora elseyi,4.5.11,East China Sea,,Native,Extant,
3540541,133010,Acropora elseyi,4.5.12,South China Sea,,Native,Extant,
3540541,133010,Acropora elseyi,4.5.13,Gulf of Thailand,,Native,Extant,
3545567,133015,Montipora millepora,4.5.13,Gulf of Thailand,,Native,Extant,
3545567,133015,Montipora millepora,4.5.12,South China Sea,,Native,Extant,
3545567,133015,Montipora millepora,4.5.4,Indonesian Seas,,Native,Extant,
3545567,133015,Montipora millepora,4.6.3,Somali Current,,Native,Extant,
3545567,133015,Montipora millepora,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3545567,133015,Montipora millepora,4.4.5,East-Central Australian Shelf,,Native,Extant,
3545567,133015,Montipora millepora,4.6.1,Bay of Bengal,,Native,Extant,
3545567,133015,Montipora millepora,4.4.4,North Australian Shelf,,Native,Extant,
3545567,133015,Montipora millepora,4.4.3,Northeast Australian Shelf,,Native,Extant,
3545567,133015,Montipora millepora,4.4.2,Northwest Australian Shelf,,Native,Extant,
3545567,133015,Montipora millepora,4.4.1,West-Central Australian Shelf,,Native,Extant,
3545567,133015,Montipora millepora,2.2.1,Kuroshio Current,,Native,Extant,
3545567,133015,Montipora millepora,4.6.4,Agulhas Current,,Native,Extant,
3545567,133015,Montipora millepora,4.6.5,Red Sea,,Native,Extant,
3545567,133015,Montipora millepora,4.5.11,East China Sea,,Native,Extant,
3561302,133101,Goniastrea minuta,4.5.13,Gulf of Thailand,,Native,Extant,
3561302,133101,Goniastrea minuta,4.5.12,South China Sea,,Native,Extant,
3561302,133101,Goniastrea minuta,4.5.11,East China Sea,,Native,Extant,
3561302,133101,Goniastrea minuta,4.6.4,Agulhas Current,,Native,Extant,
3561302,133101,Goniastrea minuta,2.2.1,Kuroshio Current,,Native,Extant,
3561302,133101,Goniastrea minuta,4.4.2,Northwest Australian Shelf,,Native,Extant,
3561302,133101,Goniastrea minuta,4.4.3,Northeast Australian Shelf,,Native,Extant,
3561302,133101,Goniastrea minuta,4.6.1,Bay of Bengal,,Native,Extant,
3561302,133101,Goniastrea minuta,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3561302,133101,Goniastrea minuta,4.5.4,Indonesian Seas,,Native,Extant,
3561302,133101,Goniastrea minuta,4.6.3,Somali Current,,Native,Extant,
3561794,133030,Acropora tutuilensis,4.5.13,Gulf of Thailand,,Native,Extant,
3561794,133030,Acropora tutuilensis,4.5.12,South China Sea,,Native,Extant,
3561794,133030,Acropora tutuilensis,4.4.2,Northwest Australian Shelf,,Native,Extant,
3561794,133030,Acropora tutuilensis,4.6.1,Bay of Bengal,,Native,Extant,
3561794,133030,Acropora tutuilensis,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3561794,133030,Acropora tutuilensis,4.6.2,Arabian Sea,,Native,Extant,
3561794,133030,Acropora tutuilensis,4.5.4,Indonesian Seas,,Native,Extant,
3562717,133031,Montipora effusa,4.5.4,Indonesian Seas,,Native,Extant,
3562717,133031,Montipora effusa,4.6.3,Somali Current,,Native,Extant,
3562717,133031,Montipora effusa,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3562717,133031,Montipora effusa,4.6.2,Arabian Sea,,Native,Extant,
3562717,133031,Montipora effusa,4.6.1,Bay of Bengal,,Native,Extant,
3562717,133031,Montipora effusa,4.4.4,North Australian Shelf,,Native,Extant,
3562717,133031,Montipora effusa,4.4.3,Northeast Australian Shelf,,Native,Extant,
3562717,133031,Montipora effusa,4.4.2,Northwest Australian Shelf,,Native,Extant,
3562717,133031,Montipora effusa,2.2.1,Kuroshio Current,,Native,Extant,
3562717,133031,Montipora effusa,4.6.4,Agulhas Current,,Native,Extant,
3562717,133031,Montipora effusa,4.5.11,East China Sea,,Native,Extant,
3562717,133031,Montipora effusa,4.5.12,South China Sea,,Native,Extant,
3562717,133031,Montipora effusa,4.5.13,Gulf of Thailand,,Native,Extant,
3564383,133033,Acropora pulchra,4.5.13,Gulf of Thailand,,Native,Extant,
3564383,133033,Acropora pulchra,4.5.12,South China Sea,,Native,Extant,
3564383,133033,Acropora pulchra,4.5.11,East China Sea,,Native,Extant,
3564383,133033,Acropora pulchra,4.6.3,Somali Current,,Native,Extant,
3564383,133033,Acropora pulchra,4.5.4,Indonesian Seas,,Native,Extant,
3564383,133033,Acropora pulchra,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3564383,133033,Acropora pulchra,4.6.2,Arabian Sea,,Native,Extant,
3564383,133033,Acropora pulchra,4.4.5,East-Central Australian Shelf,,Native,Extant,
3564383,133033,Acropora pulchra,4.6.1,Bay of Bengal,,Native,Extant,
3564383,133033,Acropora pulchra,4.4.4,North Australian Shelf,,Native,Extant,
3564383,133033,Acropora pulchra,4.4.3,Northeast Australian Shelf,,Native,Extant,
3564383,133033,Acropora pulchra,4.4.2,Northwest Australian Shelf,,Native,Extant,
3564383,133033,Acropora pulchra,4.4.1,West-Central Australian Shelf,,Native,Extant,
3564383,133033,Acropora pulchra,2.2.1,Kuroshio Current,,Native,Extant,
3564383,133033,Acropora pulchra,4.6.4,Agulhas Current,,Native,Extant,
3564383,133033,Acropora pulchra,4.6.5,Red Sea,,Native,Extant,
3566820,133035,Acropora insignis,4.5.13,Gulf of Thailand,,Native,Extant,
3566820,133035,Acropora insignis,4.5.12,South China Sea,,Native,Extant,
3566820,133035,Acropora insignis,4.5.11,East China Sea,,Native,Extant,
3566820,133035,Acropora insignis,2.2.1,Kuroshio Current,,Native,Extant,
3566820,133035,Acropora insignis,4.4.2,Northwest Australian Shelf,,Native,Extant,
3566820,133035,Acropora insignis,4.6.1,Bay of Bengal,,Native,Extant,
3566820,133035,Acropora insignis,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3566820,133035,Acropora insignis,4.5.4,Indonesian Seas,,Native,Extant,
3574580,133115,Acropora retusa,4.5.13,Gulf of Thailand,,Native,Extant,
3574580,133115,Acropora retusa,4.5.12,South China Sea,,Native,Extant,
3574580,133115,Acropora retusa,4.6.5,Red Sea,,Native,Extant,
3574580,133115,Acropora retusa,4.6.4,Agulhas Current,,Native,Extant,
3574580,133115,Acropora retusa,4.4.2,Northwest Australian Shelf,,Native,Extant,
3574580,133115,Acropora retusa,4.6.1,Bay of Bengal,,Native,Extant,
3574580,133115,Acropora retusa,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3574580,133115,Acropora retusa,4.6.2,Arabian Sea,,Native,Extant,
3574580,133115,Acropora retusa,4.5.4,Indonesian Seas,,Native,Extant,
3578380,133048,Astreopora suggesta,4.5.13,Gulf of Thailand,,Native,Extant,
3578380,133048,Astreopora suggesta,4.5.12,South China Sea,,Native,Extant,
3578380,133048,Astreopora suggesta,4.5.11,East China Sea,,Native,Extant,
3578380,133048,Astreopora suggesta,4.6.5,Red Sea,,Native,Extant,
3578380,133048,Astreopora suggesta,4.6.4,Agulhas Current,,Native,Extant,
3578380,133048,Astreopora suggesta,2.2.1,Kuroshio Current,,Native,Extant,
3578380,133048,Astreopora suggesta,4.4.2,Northwest Australian Shelf,,Native,Extant,
3578380,133048,Astreopora suggesta,4.4.3,Northeast Australian Shelf,,Native,Extant,
3578380,133048,Astreopora suggesta,4.6.1,Bay of Bengal,,Native,Extant,
3578380,133048,Astreopora suggesta,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3578380,133048,Astreopora suggesta,4.6.2,Arabian Sea,,Native,Extant,
3578380,133048,Astreopora suggesta,4.5.4,Indonesian Seas,,Native,Extant,
3578932,133120,Acropora latistella,4.5.13,Gulf of Thailand,,Native,Extant,
3578932,133120,Acropora latistella,4.5.12,South China Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.5.11,East China Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.6.3,Somali Current,,Native,Extant,
3578932,133120,Acropora latistella,4.5.4,Indonesian Seas,,Native,Extant,
3578932,133120,Acropora latistella,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.6.2,Arabian Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.4.5,East-Central Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.6.1,Bay of Bengal,,Native,Extant,
3578932,133120,Acropora latistella,4.4.4,North Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.4.3,Northeast Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.4.2,Northwest Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.4.1,West-Central Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,2.2.1,Kuroshio Current,,Native,Extant,
3578932,133120,Acropora latistella,4.6.4,Agulhas Current,,Native,Extant,
3578932,133120,Acropora latistella,4.6.5,Red Sea,,Native,Extant,
3592271,133068,Platygyra sinensis,4.5.13,Gulf of Thailand,,Native,Extant,
3592271,133068,Platygyra sinensis,4.5.12,South China Sea,,Native,Extant,
