assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
3621724,133188,Echinopora hirsutissima,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Marginal
3621724,133188,Echinopora hirsutissima,9.8.4,Lagoon,,,Suitable
3624060,133193,Heliopora coerulea,9.8.4,Lagoon,,,Suitable
3625707,133196,Montipora incrassata,9.8.1,Outer Reef Channel,,,Suitable
3625707,133196,Montipora incrassata,9.8.2,Back Slope,,,Suitable
3625707,133196,Montipora incrassata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3625707,133196,Montipora incrassata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3625707,133196,Montipora incrassata,9.8.4,Lagoon,,,Marginal
3631022,133207,Acropora clathrata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3631022,133207,Acropora clathrata,9.8.4,Lagoon,,,Suitable
3633217,133210,Favia speciosa,9.8.1,Outer Reef Channel,,,Suitable
3633217,133210,Favia speciosa,9.8.2,Back Slope,,,Suitable
3633217,133210,Favia speciosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3633217,133210,Favia speciosa,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3633217,133210,Favia speciosa,9.8.4,Lagoon,,,Suitable
3633217,133210,Favia speciosa,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3639848,133223,Acropora donei,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3639848,133223,Acropora donei,9.8.4,Lagoon,,,Suitable
3642551,133229,Montipora flabellata,9.8.1,Outer Reef Channel,,,Suitable
3642551,133229,Montipora flabellata,9.8.2,Back Slope,,,Suitable
3642551,133229,Montipora flabellata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3642551,133229,Montipora flabellata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3642551,133229,Montipora flabellata,9.8.4,Lagoon,,,Suitable
3646741,133238,Montipora hispida,9.8.1,Outer Reef Channel,,,Marginal
3646741,133238,Montipora hispida,9.8.2,Back Slope,,,Suitable
3646741,133238,Montipora hispida,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3646741,133238,Montipora hispida,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3646741,133238,Montipora hispida,9.8.4,Lagoon,,,Suitable
3649963,133243,Echinopora pacificus,9.8.1,Outer Reef Channel,,,Marginal
3649963,133243,Echinopora pacificus,9.8.2,Back Slope,,,Suitable
3649963,133243,Echinopora pacificus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3649963,133243,Echinopora pacificus,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3649963,133243,Echinopora pacificus,9.8.4,Lagoon,,,Suitable
3649963,133243,Echinopora pacificus,9.8.5,Inter-Reef Soft Substrate,,,Marginal
3652463,133247,Acropora pharaonis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3652463,133247,Acropora pharaonis,9.8.4,Lagoon,,,Suitable
3655366,133252,Acropora tortuosa,9.8.4,Lagoon,,,Suitable
3655366,133252,Acropora tortuosa,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3661951,133266,Acropora nobilis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3661951,133266,Acropora nobilis,9.8.4,Lagoon,,,Suitable
3664344,133271,Acropora sarmentosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3664344,133271,Acropora sarmentosa,9.8.4,Lagoon,,,Suitable
3665366,133273,Acropora inermis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3667540,133278,Leptastrea pruinosa,9.8.1,Outer Reef Channel,,,Marginal
3667540,133278,Leptastrea pruinosa,9.8.2,Back Slope,,,Suitable
3667540,133278,Leptastrea pruinosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3667540,133278,Leptastrea pruinosa,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3667540,133278,Leptastrea pruinosa,9.8.4,Lagoon,,,Suitable
3667540,133278,Leptastrea pruinosa,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3675348,133294,Acropora lokani,9.8.2,Back Slope,,,Suitable
3675348,133294,Acropora lokani,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3675348,133294,Acropora lokani,9.8.4,Lagoon,,,Suitable
3676822,133298,Montipora turgescens,9.8.1,Outer Reef Channel,,,Suitable
3676822,133298,Montipora turgescens,9.8.2,Back Slope,,,Suitable
3676822,133298,Montipora turgescens,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3676822,133298,Montipora turgescens,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3676822,133298,Montipora turgescens,9.8.4,Lagoon,,,Suitable
3682860,133310,Leptoria irregularis,9.8.2,Back Slope,,,Suitable
3682860,133310,Leptoria irregularis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3682860,133310,Leptoria irregularis,9.8.4,Lagoon,,,Marginal
3684008,133313,Acropora cytherea,9.8.2,Back Slope,,,Suitable
3684008,133313,Acropora cytherea,9.8.3,Foreslope (Outer Reef Slope),,,Marginal
3684008,133313,Acropora cytherea,9.8.4,Lagoon,,,Suitable
3687166,133319,Acropora horrida,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3687166,133319,Acropora horrida,9.8.4,Lagoon,,,Suitable
3688541,133321,Cyphastrea ocellina,9.8.1,Outer Reef Channel,,,Marginal
3688541,133321,Cyphastrea ocellina,9.8.2,Back Slope,,,Suitable
3688541,133321,Cyphastrea ocellina,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3688541,133321,Cyphastrea ocellina,9.8.4,Lagoon,,,Suitable
3689003,133322,Acropora dendrum,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3694756,133333,Oulophyllia bennettae,9.8.2,Back Slope,,,Suitable
3694756,133333,Oulophyllia bennettae,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3694756,133333,Oulophyllia bennettae,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Marginal
3697011,133338,Acropora speciosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3697011,133338,Acropora speciosa,9.8.4,Lagoon,,,Suitable
3706472,133359,Acropora microclados,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3706472,133359,Acropora microclados,9.8.4,Lagoon,,,Suitable
3734638,133417,Caulastrea furcata,9.8.2,Back Slope,,,Suitable
