assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
3530977,133060,Goniastrea favulus,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3530977,133060,Goniastrea favulus,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3534237,133003,Leptastrea bewickensis,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3534237,133003,Leptastrea bewickensis,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3534237,133003,Leptastrea bewickensis,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3534237,133003,Leptastrea bewickensis,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
