assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
3624773,133194,Montipora digitata,9.8.2,Back Slope,,,Suitable
3624773,133194,Montipora digitata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3624773,133194,Montipora digitata,9.8.4,Lagoon,,,Marginal
3625707,133196,Montipora incrassata,9.8.1,Outer Reef Channel,,,Suitable
3625707,133196,Montipora incrassata,9.8.2,Back Slope,,,Suitable
3625707,133196,Montipora incrassata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3625707,133196,Montipora incrassata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3625707,133196,Montipora incrassata,9.8.4,Lagoon,,,Marginal
3631022,133207,Acropora clathrata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3631022,133207,Acropora clathrata,9.8.4,Lagoon,,,Suitable
3633217,133210,Favia speciosa,9.8.1,Outer Reef Channel,,,Suitable
3633217,133210,Favia speciosa,9.8.2,Back Slope,,,Suitable
3633217,133210,Favia speciosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3633217,133210,Favia speciosa,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3633217,133210,Favia speciosa,9.8.4,Lagoon,,,Suitable
3633217,133210,Favia speciosa,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3639848,133223,Acropora donei,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3639848,133223,Acropora donei,9.8.4,Lagoon,,,Suitable
3641605,133227,Astreopora expansa,9.8.2,Back Slope,,,Marginal
3641605,133227,Astreopora expansa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3641605,133227,Astreopora expansa,9.8.4,Lagoon,,,Suitable
3642551,133229,Montipora flabellata,9.8.1,Outer Reef Channel,,,Suitable
3642551,133229,Montipora flabellata,9.8.2,Back Slope,,,Suitable
3642551,133229,Montipora flabellata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3642551,133229,Montipora flabellata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3642551,133229,Montipora flabellata,9.8.4,Lagoon,,,Suitable
3644721,133233,Acropora kimbeensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3644721,133233,Acropora kimbeensis,9.8.4,Lagoon,,,Marginal
3646741,133238,Montipora hispida,9.8.1,Outer Reef Channel,,,Marginal
