assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
1609567,180275,Holothuria lessoni,KH,Cambodia,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,IN,India,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,CN,China,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,ID,Indonesia,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,MY,Malaysia,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,MV,Maldives,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,MM,Myanmar,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,PH,Philippines,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,SG,Singapore,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,LK,Sri Lanka,Extant,Native,"[""Resident""]",
1629389,180424,Apostichopus japonicus,CN,China,Extant,Native,"[""Resident""]",
1629389,180424,Apostichopus japonicus,RU,Russian Federation,Extant,Native,"[""Resident""]",
1629389,180424,Apostichopus japonicus,KR,"Korea, Republic of",Extant,Native,"[""Resident""]",
1629389,180424,Apostichopus japonicus,KP,"Korea, Democratic People's Republic of",Extant,Native,"[""Resident""]",
1629389,180424,Apostichopus japonicus,JP,Japan,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,SB,Solomon Islands,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,TV,Tuvalu,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,TW,"Taiwan, Province of China",Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,CK,Cook Islands,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,NC,New Caledonia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,CN,China,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,PG,Papua New Guinea,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,PF,French Polynesia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,CC,Cocos (Keeling) Islands,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,PH,Philippines,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,PW,Palau,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,GU,Guam,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MP,Northern Mariana Islands,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,KI,Kiribati,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,ID,Indonesia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,BN,Brunei Darussalam,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MH,Marshall Islands,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MG,Madagascar,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,NU,Niue,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,TO,Tonga,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,TH,Thailand,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,VN,Viet Nam,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,RE,Réunion,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,ZA,South Africa,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,VU,Vanuatu,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,JP,Japan,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,FJ,Fiji,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,KE,Kenya,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MV,Maldives,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MU,Mauritius,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,SC,Seychelles,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MZ,Mozambique,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,WS,Samoa,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,SG,Singapore,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MY,Malaysia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,IN,India,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,AU,Australia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,MM,Myanmar,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,IL,Israel,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,IR,"Iran, Islamic Republic of",Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,TZ,"Tanzania, United Republic of",Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,SD,Sudan,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,SO,Somalia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,YT,Mayotte,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,ER,Eritrea,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,YE,Yemen,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,SA,Saudi Arabia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,PK,Pakistan,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,OM,Oman,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,JO,Jordan,Extant,Native,"[""Resident""]",
